s_300	s_0	energy_e10e20
3,304397978354246e-10	3,304397978354246e-10	45,78794420644065
3,623922748374753e-10	3,623922748374753e-10	45,4832
-1,458890549838543e-07	-1,458890549838543e-07	45,18148806304567
-1,071633584797382e-07	-1,071633584797382e-07	44,88276829963598
4,432443893165328e-10	4,432443893165328e-10	44,58700127438487
4,596736835082993e-10	4,596736835082993e-10	44,29414819944598
4,687314503826201e-10	4,687314503826201e-10	44,00417092179522
4,698681004811079e-10	4,698681004811079e-10	43,71703191080354
4,631090996554122e-10	4,631090996554122e-10	43,4326942460928
4,490760329645128e-10	4,490760329645128e-10	43,15112160566706
4,288909622118808e-10	4,288909622118808e-10	42,87227825431238
4,040369822178036e-10	4,040369822178036e-10	42,59612903225807
3,761297921300866e-10	3,761297921300866e-10	42,32263934409281
-1,182820647954941e-07	-1,182820647954941e-07	42,051775147929
3,17256672133226e-10	3,17256672133226e-10	41,78350294480908
2,887247865146492e-10	2,887247865146492e-10	41,5177897683476
2,619035512907431e-10	2,619035512907431e-10	41,25460317460318
2,372661037952639e-10	2,372661037952639e-10	40,99391123217433
2,150830187019892e-10	2,150830187019892e-10	40,73568251251381
1,954863182618283e-10	1,954863182618283e-10	40,47988608045569
1,785227686923463e-10	1,785227686923463e-10	40,22649148495003
1,641887683945242e-10	1,641887683945242e-10	39,97546875
-1,772692613303662e-07	-1,772692613303662e-07	39,72678836579615
1,432179851690307e-10	1,432179851690307e-10	39,48042128004321
1,364487525279401e-10	1,364487525279401e-10	39,23633888947464
1,320980027230689e-10	1,320980027230689e-10	38,99451303155007
-1,339536532759667e-07	-1,339536532759667e-07	38,75491597633137
1,308670016442193e-10	1,308670016442193e-10	38,51752041853288
1,343324856861727e-10	1,343324856861727e-10	38,28229946974161
1,408729076501913e-10	1,408729076501913e-10	38,0492266508031
-1,908694580197334e-07	-1,908694580197334e-07	37,81827588436914
1,640791742829606e-10	1,640791742829606e-10	37,58942148760331
-1,943443715572357e-07	-1,943443715572357e-07	37,36263816504049
-1,960933394730091e-07	-1,960933394730091e-07	37,13790100159675
2,213946390838828e-10	2,213946390838828e-10	36,915185455726
2,431305620120838e-10	2,431305620120838e-10	36,69446735271971
2,637575562403072e-10	2,637575562403072e-10	36,47572287814658
2,816655069182161e-10	2,816655069182161e-10	36,25892857142858
-1,491958927363157e-07	-1,491958927363157e-07	36,04406131955023
3,043309516215232e-10	3,043309516215232e-10	35,83109835089808
3,07934642478358e-10	3,07934642478358e-10	35,62001722922704
-1,532127056270838e-07	-1,532127056270838e-07	35,41079584775087
3,013424247910735e-10	3,013424247910735e-10	35,20341242335378
2,931243034254294e-10	2,931243034254294e-10	34,99784549092028
2,83133103948785e-10	2,83133103948785e-10	34,79407389778069
2,723140642046929e-10	2,723140642046929e-10	34,59207679826934
2,613201831991319e-10	2,613201831991319e-10	34,3918336483932
2,505413976905402e-10	2,505413976905402e-10	34,19332420060811
2,402128120593261e-10	2,402128120593261e-10	33,99652849870026
2,305601992702577e-10	2,305601992702577e-10	33,80142687277051
-4,558127373456955e-07	-4,558127373456955e-07	33,6079999343191
2,147745180991478e-10	2,147745180991478e-10	33,41622857142858
2,096588104905095e-10	2,096588104905095e-10	33,22609394404267
2,070308255497366e-10	2,070308255497366e-10	33,03757747933885
2,070913251372986e-10	2,070913251372986e-10	32,85066086719258
2,096435309795197e-10	2,096435309795197e-10	32,66532605573111
2,140552533091977e-10	2,140552533091977e-10	32,48155524697481
2,193397813243792e-10	2,193397813243792e-10	32,29933089256407
2,243440030724742e-10	2,243440030724742e-10	32,11863568956995
2,280073022120632e-10	2,280073022120632e-10	31,93945257638651
2,296177444804926e-10	2,296177444804926e-10	31,76176472870323
2,289872645633295e-10	2,289872645633295e-10	31,58555555555556
2,265168586745858e-10	2,265168586745858e-10	31,410808695452
2,230947393400129e-10	2,230947393400129e-10	31,23750801257593
2,198884976678528e-10	2,198884976678528e-10	31,06563759306059
2,180511728511192e-10	2,180511728511192e-10	30,89518174133559
2,184389450121671e-10	2,184389450121671e-10	30,72612497654345
2,214109190390445e-10	2,214109190390445e-10	30,55845202902446
2,267510717501864e-10	2,267510717501864e-10	30,39214783686864
2,337515797989909e-10	2,337515797989909e-10	30,22719754253308
-3,922548517584801e-07	-3,922548517584801e-07	30,06358648952343
2,48669366555987e-10	2,48669366555987e-10	29,90130021913806
2,546988798712846e-10	2,546988798712846e-10	29,74032446727356
2,589991345303133e-10	2,589991345303133e-10	29,58064516129033
2,614582990645431e-10	2,614582990645431e-10	29,4222484169368
2,622463034640532e-10	2,622463034640532e-10	29,2651205353313
2,616308847791515e-10	2,616308847791515e-10	29,109248
2,598005630716216e-10	2,598005630716216e-10	28,95461747397012
2,56723869824782e-10	2,56723869824782e-10	28,80121579691689
-2,894602157175541e-07	-2,894602157175541e-07	28,64902998236332
